Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,,0,XAUUSD,12/01/2015,5:05:00 AM,12/01/2015,5:10:00 AM,1071.2,1071.4,1070.6,1071.05,1070.971,47
Success,,,0,XAUUSD,12/01/2015,5:10:00 AM,12/01/2015,5:15:00 AM,1071,1071.35,1070.86,1071.31,1071.152,38
Success,,,0,XAUUSD,12/01/2015,5:15:00 AM,12/01/2015,5:20:00 AM,1071.05,1072.18,1070.9,1072.15,1071.547,74
Success,,,0,XAUUSD,12/01/2015,5:20:00 AM,12/01/2015,5:25:00 AM,1072.15,1072.75,1071.8,1072.17,1072.184,41
Success,,,0,XAUUSD,12/01/2015,5:25:00 AM,12/01/2015,5:30:00 AM,1072.15,1072.3,1071.72,1072.05,1072.148,44
Success,,,0,XAUUSD,12/01/2015,5:30:00 AM,12/01/2015,5:35:00 AM,1072.05,1072.26,1071.49,1071.84,1071.976,52
Success,,,0,XAUUSD,12/01/2015,5:35:00 AM,12/01/2015,5:40:00 AM,1071.95,1072.67,1071.84,1072.67,1072.229,28
Success,,,0,XAUUSD,12/01/2015,5:40:00 AM,12/01/2015,5:45:00 AM,1072.55,1073.29,1072.19,1073.29,1072.699,31
Success,,,0,XAUUSD,12/01/2015,5:45:00 AM,12/01/2015,5:50:00 AM,1073.3,1073.35,1072.74,1073.12,1073.103,30
Success,,,0,XAUUSD,12/01/2015,5:50:00 AM,12/01/2015,5:55:00 AM,1073.15,1073.45,1072.4,1072.85,1073.191,40
Success,,,0,XAUUSD,12/01/2015,5:55:00 AM,12/01/2015,6:00:00 AM,1072.85,1073.25,1071.91,1073.05,1072.817,82
Success,,,0,XAUUSD,12/01/2015,6:00:00 AM,12/01/2015,6:05:00 AM,1073.05,1074.05,1072.74,1074.05,1073.28,65
Success,,,0,XAUUSD,12/01/2015,6:05:00 AM,12/01/2015,6:10:00 AM,1074.05,1074.05,1072.31,1073.03,1073.288,55
Success,,,0,XAUUSD,12/01/2015,6:10:00 AM,12/01/2015,6:15:00 AM,1073.05,1073.25,1072.06,1073.25,1072.697,58
Success,,,0,XAUUSD,12/01/2015,6:15:00 AM,12/01/2015,6:20:00 AM,1072.87,1073.25,1072.47,1073.25,1072.977,59
Success,,,0,XAUUSD,12/01/2015,6:20:00 AM,12/01/2015,6:25:00 AM,1072.8,1073.25,1072.07,1072.45,1072.689,54
Success,,,0,XAUUSD,12/01/2015,6:25:00 AM,12/01/2015,6:30:00 AM,1072.45,1072.45,1071.4,1072.05,1072.031,53
Success,,,0,XAUUSD,12/01/2015,6:30:00 AM,12/01/2015,6:35:00 AM,1072.05,1073.05,1071.52,1073,1072.261,61
Success,,,0,XAUUSD,12/01/2015,6:35:00 AM,12/01/2015,6:40:00 AM,1072.67,1073.25,1072.08,1072.45,1072.747,58
Success,,,0,XAUUSD,12/01/2015,6:40:00 AM,12/01/2015,6:45:00 AM,1071.92,1072.85,1071.82,1072.85,1072.35,55
Success,,,0,XAUUSD,12/01/2015,6:45:00 AM,12/01/2015,6:50:00 AM,1072.8,1073.55,1072.33,1073.55,1072.878,60
Success,,,0,XAUUSD,12/01/2015,6:50:00 AM,12/01/2015,6:55:00 AM,1073.65,1074.05,1072.9,1073.45,1073.619,59
Success,,,0,XAUUSD,12/01/2015,6:55:00 AM,12/01/2015,7:00:00 AM,1073.09,1073.65,1072.94,1073.45,1073.366,57
Success,,,0,XAUUSD,12/01/2015,7:00:00 AM,12/01/2015,7:05:00 AM,1072.98,1073.45,1072.7,1073.25,1073.16,64
Success,,,0,XAUUSD,12/01/2015,7:05:00 AM,12/01/2015,7:10:00 AM,1073.33,1073.43,1072.58,1073.25,1073.089,70
Success,,,0,XAUUSD,12/01/2015,7:10:00 AM,12/01/2015,7:15:00 AM,1073.43,1073.53,1072.84,1073.45,1073.287,60
Success,,,0,XAUUSD,12/01/2015,7:15:00 AM,12/01/2015,7:20:00 AM,1073.45,1073.45,1072.74,1073.25,1073.197,68
